event_id,order_id,event_time,ingestion_time,event_type
121,4514,2023-04-29 11:00:00,2023-04-29 13:00:00,ADD_TO_CART
122,265,2023-06-24 08:00:00,2023-06-24 10:00:00,PURCHASE
123,5191,2023-10-06 13:00:00,2023-10-06 14:00:00,PURCHASE
124,5536,2023-02-18 06:00:00,2023-02-18 08:00:00,VIEW
125,857,2023-04-29 22:00:00,2023-04-30 03:00:00,PURCHASE
126,6629,2023-02-20 19:00:00,2023-02-20 20:00:00,PURCHASE
127,5502,2023-09-13 22:00:00,2023-09-13 23:00:00,ADD_TO_CART
128,4269,2023-08-20 10:00:00,2023-08-20 15:00:00,PURCHASE
129,3096,2023-05-08 07:00:00,2023-05-08 07:00:00,ADD_TO_CART
130,5498,2023-05-07 16:00:00,2023-05-07 18:00:00,VIEW
131,3659,2023-09-19 05:00:00,2023-09-19 05:00:00,VIEW
132,4756,2023-07-24 21:00:00,2023-07-25 02:00:00,ADD_TO_CART
133,1935,2023-09-13 14:00:00,2023-09-13 15:00:00,VIEW
134,4744,2023-09-30 09:00:00,2023-09-30 09:00:00,PURCHASE
135,6806,2023-06-10 01:00:00,2023-06-10 02:00:00,ADD_TO_CART
136,1739,2023-01-20 20:00:00,2023-01-20 20:00:00,ADD_TO_CART
137,438,2023-10-04 02:00:00,2023-10-04 07:00:00,PURCHASE
138,6426,2023-12-07 08:00:00,2023-12-07 09:00:00,VIEW
139,1159,2023-07-18 21:00:00,2023-07-18 21:00:00,PURCHASE
140,6667,2023-01-10 02:00:00,2023-01-10 02:00:00,ADD_TO_CART
141,596,2023-07-12 02:00:00,2023-07-12 02:00:00,ADD_TO_CART
142,1440,2023-10-28 02:00:00,2023-10-28 07:00:00,PURCHASE
143,5203,2023-04-04 17:00:00,2023-04-04 22:00:00,ADD_TO_CART
144,852,2023-12-13 14:00:00,2023-12-13 14:00:00,PURCHASE
145,989,2023-10-30 08:00:00,2023-10-30 13:00:00,PURCHASE
146,6674,2023-12-02 18:00:00,2023-12-02 18:00:00,PURCHASE
147,7545,2023-03-18 20:00:00,2023-03-18 21:00:00,PURCHASE
148,849,2023-12-11 10:00:00,2023-12-11 15:00:00,VIEW
149,7706,2023-09-30 10:00:00,2023-09-30 15:00:00,PURCHASE
150,1484,2023-01-29 05:00:00,2023-01-29 05:00:00,PURCHASE
151,5169,2023-04-19 02:00:00,2023-04-19 02:00:00,PURCHASE
152,5751,2023-03-27 03:00:00,2023-03-27 08:00:00,PURCHASE
153,4665,2023-11-26 17:00:00,2023-11-26 17:00:00,ADD_TO_CART
154,7573,2023-02-05 04:00:00,2023-02-05 04:00:00,PURCHASE
155,4501,2023-03-21 01:00:00,2023-03-21 01:00:00,PURCHASE
156,2659,2023-06-02 23:00:00,2023-06-02 23:00:00,PURCHASE
157,99,2023-11-01 15:00:00,2023-11-01 15:00:00,PURCHASE
158,2617,2023-09-24 01:00:00,2023-09-24 02:00:00,ADD_TO_CART
159,4258,2023-03-16 15:00:00,2023-03-16 15:00:00,VIEW
160,2772,2023-02-22 13:00:00,2023-02-22 18:00:00,PURCHASE
161,1592,2023-06-07 11:00:00,2023-06-07 12:00:00,VIEW
162,2361,2023-12-16 08:00:00,2023-12-16 08:00:00,PURCHASE
163,1854,2023-01-04 23:00:00,2023-01-04 23:00:00,ADD_TO_CART
164,3458,2023-01-01 12:00:00,2023-01-01 12:00:00,PURCHASE
165,5127,2023-02-21 10:00:00,2023-02-21 10:00:00,VIEW
166,5606,2023-11-04 16:00:00,2023-11-04 16:00:00,VIEW
167,3871,2023-02-19 14:00:00,2023-02-19 19:00:00,VIEW
168,1066,2023-11-21 18:00:00,2023-11-21 19:00:00,VIEW
169,5919,2023-10-24 05:00:00,2023-10-24 05:00:00,PURCHASE
170,3938,2023-05-25 23:00:00,2023-05-26 00:00:00,VIEW
171,3416,2023-10-04 09:00:00,2023-10-04 09:00:00,VIEW
172,1150,2023-12-03 14:00:00,2023-12-03 14:00:00,ADD_TO_CART
173,5399,2023-06-02 07:00:00,2023-06-02 07:00:00,ADD_TO_CART
174,5164,2023-07-21 23:00:00,2023-07-22 04:00:00,PURCHASE
175,6949,2023-12-27 12:00:00,2023-12-27 13:00:00,PURCHASE
176,7704,2023-05-10 20:00:00,2023-05-10 20:00:00,VIEW
177,5898,2023-02-20 20:00:00,2023-02-20 22:00:00,PURCHASE
178,7148,2023-06-03 14:00:00,2023-06-03 19:00:00,PURCHASE
179,4901,2023-08-07 12:00:00,2023-08-07 14:00:00,PURCHASE
180,4685,2023-07-07 06:00:00,2023-07-07 06:00:00,ADD_TO_CART
181,1195,2023-01-13 14:00:00,2023-01-13 14:00:00,ADD_TO_CART
182,5498,2023-01-28 17:00:00,2023-01-28 17:00:00,ADD_TO_CART
183,1267,2023-07-15 11:00:00,2023-07-15 16:00:00,VIEW
184,1427,2023-12-12 11:00:00,2023-12-12 12:00:00,VIEW
185,1024,2023-12-18 09:00:00,2023-12-18 10:00:00,PURCHASE
186,6427,2023-01-31 06:00:00,2023-01-31 11:00:00,PURCHASE
187,6884,2023-09-28 02:00:00,2023-09-28 07:00:00,ADD_TO_CART
188,846,2023-11-20 07:00:00,2023-11-20 08:00:00,VIEW
189,5267,2023-05-27 22:00:00,2023-05-27 22:00:00,PURCHASE
190,4848,2023-04-06 12:00:00,2023-04-06 12:00:00,ADD_TO_CART
191,3727,2023-01-19 00:00:00,2023-01-19 05:00:00,ADD_TO_CART
192,6347,2023-01-29 14:00:00,2023-01-29 19:00:00,PURCHASE
193,1319,2023-08-21 10:00:00,2023-08-21 10:00:00,VIEW
194,3382,2023-08-22 16:00:00,2023-08-22 16:00:00,ADD_TO_CART
195,6971,2023-09-10 14:00:00,2023-09-10 14:00:00,PURCHASE
196,1639,2023-02-05 16:00:00,2023-02-05 18:00:00,VIEW
197,3268,2023-12-28 20:00:00,2023-12-28 20:00:00,VIEW
198,4115,2023-12-20 21:00:00,2023-12-20 22:00:00,ADD_TO_CART
199,7596,2023-03-06 13:00:00,2023-03-06 13:00:00,VIEW
200,7016,2023-08-12 02:00:00,2023-08-12 04:00:00,PURCHASE
201,2791,2023-02-18 07:00:00,2023-02-18 07:00:00,PURCHASE
202,1329,2023-08-11 11:00:00,2023-08-11 12:00:00,ADD_TO_CART
203,6785,2023-03-16 17:00:00,2023-03-16 18:00:00,PURCHASE
204,4131,2023-02-27 21:00:00,2023-02-28 02:00:00,ADD_TO_CART
205,2493,2023-12-12 03:00:00,2023-12-12 08:00:00,ADD_TO_CART
206,1944,2023-07-14 05:00:00,2023-07-14 10:00:00,PURCHASE
207,6665,2023-01-19 05:00:00,2023-01-19 06:00:00,ADD_TO_CART
208,3336,2023-01-30 19:00:00,2023-01-30 19:00:00,VIEW
209,5557,2023-10-13 13:00:00,2023-10-13 14:00:00,ADD_TO_CART
210,7218,2023-02-14 23:00:00,2023-02-15 00:00:00,ADD_TO_CART
211,2153,2023-02-07 16:00:00,2023-02-07 16:00:00,ADD_TO_CART
212,5515,2023-01-27 08:00:00,2023-01-27 13:00:00,PURCHASE
213,4801,2023-10-24 02:00:00,2023-10-24 02:00:00,PURCHASE
214,6306,2023-04-24 13:00:00,2023-04-24 13:00:00,VIEW
215,7359,2023-03-17 16:00:00,2023-03-17 16:00:00,PURCHASE
216,3670,2023-12-05 05:00:00,2023-12-05 07:00:00,PURCHASE
217,1741,2023-09-19 00:00:00,2023-09-19 00:00:00,ADD_TO_CART
218,6774,2023-09-06 04:00:00,2023-09-06 09:00:00,VIEW
219,7441,2023-10-17 13:00:00,2023-10-17 14:00:00,VIEW
220,3173,2023-10-03 23:00:00,2023-10-04 00:00:00,ADD_TO_CART
221,3532,2023-06-26 02:00:00,2023-06-26 04:00:00,ADD_TO_CART
222,3747,2023-04-18 14:00:00,2023-04-18 15:00:00,VIEW
223,7547,2023-05-05 19:00:00,2023-05-06 00:00:00,VIEW
224,7826,2023-09-04 09:00:00,2023-09-04 11:00:00,PURCHASE
225,7695,2023-02-13 09:00:00,2023-02-13 09:00:00,PURCHASE
226,5523,2023-05-02 19:00:00,2023-05-02 20:00:00,ADD_TO_CART
227,114,2023-01-01 10:00:00,2023-01-01 10:00:00,PURCHASE
228,6767,2023-11-17 06:00:00,2023-11-17 06:00:00,ADD_TO_CART
229,3518,2023-01-19 03:00:00,2023-01-19 03:00:00,ADD_TO_CART
230,679,2023-02-27 11:00:00,2023-02-27 11:00:00,PURCHASE
231,4229,2023-10-04 21:00:00,2023-10-04 23:00:00,PURCHASE
232,430,2023-12-29 05:00:00,2023-12-29 06:00:00,VIEW
233,2431,2023-03-23 23:00:00,2023-03-23 23:00:00,PURCHASE
234,1939,2023-09-16 19:00:00,2023-09-16 19:00:00,ADD_TO_CART
235,3680,2023-01-20 09:00:00,2023-01-20 09:00:00,ADD_TO_CART
236,5283,2023-06-26 11:00:00,2023-06-26 12:00:00,ADD_TO_CART
237,4668,2023-08-12 23:00:00,2023-08-12 23:00:00,ADD_TO_CART
238,4678,2023-01-10 17:00:00,2023-01-10 17:00:00,VIEW
239,6442,2023-09-12 10:00:00,2023-09-12 12:00:00,ADD_TO_CART
240,4004,2023-12-29 16:00:00,2023-12-29 16:00:00,ADD_TO_CART
241,7404,2023-07-08 18:00:00,2023-07-08 18:00:00,ADD_TO_CART
242,3804,2023-11-06 05:00:00,2023-11-06 05:00:00,PURCHASE
243,1236,2023-01-27 02:00:00,2023-01-27 04:00:00,ADD_TO_CART
244,2909,2023-12-01 12:00:00,2023-12-01 13:00:00,PURCHASE
245,5168,2023-06-11 15:00:00,2023-06-11 17:00:00,ADD_TO_CART
246,983,2023-04-16 07:00:00,2023-04-16 08:00:00,PURCHASE
247,2615,2023-02-06 19:00:00,2023-02-06 19:00:00,VIEW
248,3734,2023-08-26 00:00:00,2023-08-26 02:00:00,VIEW
249,4328,2023-08-02 10:00:00,2023-08-02 10:00:00,VIEW
250,6573,2023-08-28 01:00:00,2023-08-28 01:00:00,PURCHASE
251,1778,2023-08-13 12:00:00,2023-08-13 12:00:00,ADD_TO_CART
252,4515,2023-03-25 09:00:00,2023-03-25 09:00:00,VIEW
253,2700,2023-08-08 18:00:00,2023-08-08 18:00:00,VIEW
254,2121,2023-12-26 22:00:00,2023-12-27 00:00:00,ADD_TO_CART
255,5207,2023-06-25 09:00:00,2023-06-25 09:00:00,PURCHASE
256,2281,2023-11-27 14:00:00,2023-11-27 14:00:00,ADD_TO_CART
257,6224,2023-11-24 14:00:00,2023-11-24 14:00:00,VIEW
258,3668,2023-11-14 20:00:00,2023-11-14 22:00:00,PURCHASE
259,6089,2023-11-28 18:00:00,2023-11-28 23:00:00,VIEW
260,2314,2023-12-05 01:00:00,2023-12-05 01:00:00,PURCHASE
261,1630,2023-03-17 19:00:00,2023-03-17 19:00:00,ADD_TO_CART
262,5549,2023-11-09 05:00:00,2023-11-09 05:00:00,PURCHASE
263,4373,2023-12-12 19:00:00,2023-12-12 20:00:00,ADD_TO_CART
264,3109,2023-12-08 10:00:00,2023-12-08 10:00:00,ADD_TO_CART
265,3294,2023-01-14 03:00:00,2023-01-14 03:00:00,ADD_TO_CART
266,2899,2023-06-22 16:00:00,2023-06-22 17:00:00,VIEW
267,1949,2023-02-11 11:00:00,2023-02-11 11:00:00,ADD_TO_CART
268,844,2023-07-06 11:00:00,2023-07-06 13:00:00,PURCHASE
269,7849,2023-12-13 01:00:00,2023-12-13 06:00:00,PURCHASE
270,3276,2023-12-11 01:00:00,2023-12-11 02:00:00,PURCHASE
271,6954,2023-01-16 11:00:00,2023-01-16 12:00:00,PURCHASE
272,6532,2023-09-05 15:00:00,2023-09-05 20:00:00,VIEW
273,7895,2023-11-24 03:00:00,2023-11-24 03:00:00,ADD_TO_CART
274,6510,2023-01-10 01:00:00,2023-01-10 03:00:00,ADD_TO_CART
275,7513,2023-04-20 17:00:00,2023-04-20 17:00:00,VIEW
276,4989,2023-08-06 07:00:00,2023-08-06 12:00:00,PURCHASE
277,1131,2023-04-30 15:00:00,2023-04-30 17:00:00,VIEW
278,7787,2023-08-05 18:00:00,2023-08-05 23:00:00,VIEW
279,5081,2023-01-07 19:00:00,2023-01-08 00:00:00,PURCHASE
280,3711,2023-09-13 21:00:00,2023-09-13 23:00:00,VIEW
281,6643,2023-02-03 18:00:00,2023-02-03 18:00:00,ADD_TO_CART
282,5638,2023-04-12 21:00:00,2023-04-12 21:00:00,PURCHASE
283,2708,2023-11-11 03:00:00,2023-11-11 04:00:00,VIEW
284,256,2023-08-03 17:00:00,2023-08-03 17:00:00,ADD_TO_CART
285,2676,2023-09-04 05:00:00,2023-09-04 05:00:00,VIEW
286,262,2023-06-19 15:00:00,2023-06-19 20:00:00,VIEW
287,4167,2023-11-10 06:00:00,2023-11-10 06:00:00,ADD_TO_CART
288,7371,2023-02-11 15:00:00,2023-02-11 15:00:00,VIEW
289,5957,2023-01-06 01:00:00,2023-01-06 06:00:00,ADD_TO_CART
290,117,2023-06-17 21:00:00,2023-06-17 21:00:00,PURCHASE
291,3696,2023-02-25 23:00:00,2023-02-26 01:00:00,PURCHASE
292,5345,2023-10-24 00:00:00,2023-10-24 00:00:00,ADD_TO_CART
293,6275,2023-04-06 18:00:00,2023-04-06 20:00:00,ADD_TO_CART
294,2911,2023-03-15 07:00:00,2023-03-15 07:00:00,ADD_TO_CART
295,5295,2023-12-06 08:00:00,2023-12-06 08:00:00,VIEW
296,5623,2023-05-12 19:00:00,2023-05-12 19:00:00,VIEW
297,7559,2023-03-31 20:00:00,2023-03-31 20:00:00,VIEW
298,6516,2023-12-13 09:00:00,2023-12-13 09:00:00,VIEW
299,5388,2023-03-14 10:00:00,2023-03-14 12:00:00,PURCHASE
300,136,2023-04-14 07:00:00,2023-04-14 12:00:00,VIEW
301,1957,2023-07-24 20:00:00,2023-07-24 20:00:00,VIEW
302,6013,2023-03-13 15:00:00,2023-03-13 16:00:00,PURCHASE
303,5520,2023-01-08 08:00:00,2023-01-08 13:00:00,PURCHASE
304,2443,2023-09-05 20:00:00,2023-09-05 20:00:00,ADD_TO_CART
305,4957,2023-12-02 07:00:00,2023-12-02 07:00:00,PURCHASE
306,6871,2023-09-20 03:00:00,2023-09-20 03:00:00,VIEW
307,4558,2023-08-16 20:00:00,2023-08-17 01:00:00,VIEW
308,6758,2023-10-13 15:00:00,2023-10-13 16:00:00,ADD_TO_CART
309,2782,2023-09-04 16:00:00,2023-09-04 16:00:00,VIEW
310,5331,2023-04-12 09:00:00,2023-04-12 14:00:00,VIEW
311,6360,2023-05-05 11:00:00,2023-05-05 16:00:00,ADD_TO_CART
312,3733,2023-09-20 09:00:00,2023-09-20 09:00:00,VIEW
313,4157,2023-02-05 21:00:00,2023-02-05 21:00:00,PURCHASE
314,6075,2023-01-24 06:00:00,2023-01-24 06:00:00,ADD_TO_CART
315,1742,2023-02-12 06:00:00,2023-02-12 07:00:00,ADD_TO_CART
316,3454,2023-12-28 10:00:00,2023-12-28 10:00:00,VIEW
317,1994,2023-06-10 01:00:00,2023-06-10 01:00:00,PURCHASE
318,3237,2023-07-11 03:00:00,2023-07-11 03:00:00,VIEW
319,6182,2023-12-05 15:00:00,2023-12-05 17:00:00,ADD_TO_CART
320,5122,2023-07-01 21:00:00,2023-07-01 22:00:00,VIEW
321,7273,2023-07-31 05:00:00,2023-07-31 05:00:00,VIEW
322,5425,2023-01-07 07:00:00,2023-01-07 07:00:00,PURCHASE
323,1383,2023-03-06 13:00:00,2023-03-06 13:00:00,ADD_TO_CART
324,3289,2023-05-01 05:00:00,2023-05-01 05:00:00,PURCHASE
325,1106,2023-11-08 04:00:00,2023-11-08 05:00:00,PURCHASE
326,1066,2023-09-22 14:00:00,2023-09-22 14:00:00,VIEW
327,116,2023-11-06 09:00:00,2023-11-06 14:00:00,VIEW
328,2706,2023-10-28 22:00:00,2023-10-28 23:00:00,VIEW
329,4658,2023-02-05 00:00:00,2023-02-05 00:00:00,VIEW
330,2167,2023-11-06 20:00:00,2023-11-07 01:00:00,VIEW
331,2884,2023-10-22 18:00:00,2023-10-22 19:00:00,ADD_TO_CART
332,7529,2023-08-28 17:00:00,2023-08-28 19:00:00,ADD_TO_CART
333,7353,2023-11-20 12:00:00,2023-11-20 12:00:00,PURCHASE
334,7735,2023-07-01 19:00:00,2023-07-02 00:00:00,PURCHASE
335,525,2023-12-04 02:00:00,2023-12-04 03:00:00,VIEW
336,7314,2023-01-20 07:00:00,2023-01-20 07:00:00,PURCHASE
337,2443,2023-03-16 17:00:00,2023-03-16 17:00:00,VIEW
338,4464,2023-03-27 03:00:00,2023-03-27 03:00:00,ADD_TO_CART
339,765,2023-04-15 06:00:00,2023-04-15 06:00:00,VIEW
340,5297,2023-04-28 01:00:00,2023-04-28 01:00:00,VIEW
341,5090,2023-05-29 23:00:00,2023-05-29 23:00:00,ADD_TO_CART
342,237,2023-07-12 00:00:00,2023-07-12 00:00:00,VIEW
343,15,2023-11-02 06:00:00,2023-11-02 11:00:00,PURCHASE
344,5262,2023-06-23 16:00:00,2023-06-23 17:00:00,VIEW
345,6307,2023-01-14 05:00:00,2023-01-14 05:00:00,ADD_TO_CART
346,163,2023-07-02 04:00:00,2023-07-02 04:00:00,PURCHASE
347,3219,2023-03-30 10:00:00,2023-03-30 10:00:00,PURCHASE
348,3542,2023-04-19 02:00:00,2023-04-19 04:00:00,VIEW
349,1826,2023-08-11 22:00:00,2023-08-11 22:00:00,PURCHASE
350,4316,2023-03-01 08:00:00,2023-03-01 08:00:00,ADD_TO_CART
351,4043,2023-05-25 09:00:00,2023-05-25 09:00:00,VIEW
352,7988,2023-01-04 11:00:00,2023-01-04 11:00:00,ADD_TO_CART
353,7732,2023-11-12 13:00:00,2023-11-12 13:00:00,ADD_TO_CART
354,287,2023-07-31 07:00:00,2023-07-31 07:00:00,PURCHASE
355,6263,2023-10-28 15:00:00,2023-10-28 16:00:00,VIEW
356,1124,2023-11-21 05:00:00,2023-11-21 05:00:00,ADD_TO_CART
357,3604,2023-12-03 07:00:00,2023-12-03 09:00:00,ADD_TO_CART
358,4492,2023-09-06 08:00:00,2023-09-06 10:00:00,VIEW
359,2247,2023-04-29 18:00:00,2023-04-29 18:00:00,VIEW
360,2970,2023-01-05 07:00:00,2023-01-05 08:00:00,ADD_TO_CART
361,6515,2023-11-12 09:00:00,2023-11-12 09:00:00,ADD_TO_CART
362,238,2023-05-08 02:00:00,2023-05-08 02:00:00,VIEW
363,4596,2023-05-01 18:00:00,2023-05-01 20:00:00,ADD_TO_CART
364,1326,2023-12-24 17:00:00,2023-12-24 17:00:00,PURCHASE
