order_id,customer_id,store_id,sales_rep_id,order_date
141,1507,11,23,2023-06-03
142,1192,8,44,2023-06-11
143,592,7,45,2023-01-19
144,294,4,19,2023-11-24
145,1869,6,45,2023-08-31
146,1662,16,31,2023-05-09
147,1367,20,44,2023-06-25
148,1020,15,3,2023-10-07
149,310,14,28,2023-03-25
150,662,23,3,2023-08-10
151,528,12,14,2023-11-21
152,540,29,18,2023-05-25
153,419,12,27,2023-04-16
154,444,16,10,2023-11-21
155,685,15,49,2023-01-11
156,1582,29,15,2023-06-15
157,840,13,19,2023-07-15
158,236,11,9,2023-08-19
159,1463,30,4,2023-05-27
160,214,17,15,2023-12-25
161,85,21,48,2023-08-26
162,794,15,8,2023-01-13
163,1768,14,49,2023-08-07
164,85,10,1,2023-09-14
165,1945,12,7,2023-01-02
166,1513,16,31,2023-07-29
167,65,15,18,2023-12-31
168,1670,10,12,2023-08-13
169,663,4,48,2023-07-13
170,627,27,30,2023-07-15
171,64,23,33,2023-09-17
172,1367,29,47,2023-02-26
173,939,9,7,2023-04-23
174,1899,21,28,2023-08-01
175,919,20,49,2023-10-06
176,1376,9,3,2023-09-01
177,1182,21,43,2023-04-27
178,1613,25,6,2023-03-28
179,491,24,31,2023-09-20
180,1682,20,38,2023-10-27
181,1879,11,15,2023-04-23
182,1487,11,7,2023-06-13
183,1249,7,43,2023-01-04
184,1941,21,30,2023-04-28
185,313,10,27,2023-01-23
186,615,4,17,2023-08-21
187,919,5,18,2023-03-31
188,1883,5,22,2023-09-12
189,813,11,26,2023-04-02
190,940,9,27,2023-06-04
191,1490,28,40,2023-11-03
192,1112,16,24,2023-04-25
193,1907,9,8,2023-07-26
194,1327,22,21,2023-03-22
195,680,30,29,2023-04-13
196,435,4,43,2023-03-21
197,682,2,21,2023-04-13
198,1159,14,3,2023-08-28
199,1074,3,31,2023-09-22
200,1456,18,27,2023-02-02
201,340,21,46,2023-02-04
202,347,6,27,2023-09-06
203,646,11,9,2023-02-19
204,1371,21,33,2023-10-07
205,649,18,33,2023-08-30
206,245,12,26,2023-06-01
207,109,5,28,2023-05-27
208,1849,9,44,2023-02-08
209,1823,20,43,2023-07-08
210,533,28,31,2023-01-25
211,1114,26,1,2023-09-01
212,296,18,20,2023-08-11
213,112,19,12,2023-08-18
214,1837,3,17,2023-06-02
215,1613,9,15,2023-10-15
216,1201,4,34,2023-04-18
217,343,17,50,2023-02-02
218,1684,17,16,2023-12-29
219,101,23,4,2023-04-21
220,1782,23,8,2023-05-01
221,629,2,34,2023-01-16
222,1628,9,46,2023-08-15
223,1425,9,25,2023-01-11
224,28,5,15,2023-07-22
225,937,15,28,2023-07-21
226,1986,15,9,2023-04-08
227,1561,3,2,2023-04-26
228,58,19,17,2023-10-08
229,1522,28,10,2023-12-15
230,297,3,9,2023-08-20
231,134,6,31,2023-04-21
232,1355,4,2,2023-12-18
233,249,24,24,2023-01-12
234,1021,13,19,2023-01-21
235,550,27,17,2023-05-07
236,902,13,43,2023-10-12
237,1965,27,49,2023-05-01
238,1099,11,10,2023-05-04
239,1678,5,50,2023-02-02
240,834,1,28,2023-06-19
241,1192,9,38,2023-03-18
242,771,17,48,2023-10-24
243,1527,22,28,2023-11-26
244,1909,1,50,2023-03-04
245,1379,3,50,2023-09-27
246,1249,15,1,2023-08-04
247,1688,26,3,2023-07-09
248,1555,21,15,2023-03-16
249,146,26,10,2023-06-23
250,1984,23,21,2023-03-08
251,1265,30,37,2023-04-03
252,1908,10,15,2023-02-22
253,893,8,23,2023-04-04
254,344,12,14,2023-04-23
255,1773,25,15,2023-08-17
256,1059,22,10,2023-09-07
257,702,15,9,2023-07-28
258,1,27,44,2023-07-01
259,153,9,39,2023-09-24
260,429,24,5,2023-10-08
261,1969,25,25,2023-06-04
262,508,10,42,2023-03-24
263,1150,20,26,2023-07-05
264,491,9,8,2023-12-15
265,1506,15,22,2023-05-19
266,345,23,25,2023-02-24
267,1936,21,48,2023-01-19
268,1762,21,12,2023-12-14
269,221,1,9,2023-12-12
270,1939,2,10,2023-09-24
271,1943,26,48,2023-05-22
272,723,19,10,2023-11-12
273,1049,30,9,2023-06-13
274,528,14,26,2023-09-09
275,1206,8,35,2023-08-20
276,1523,6,27,2023-10-24
277,841,12,31,2023-12-29
278,1665,26,19,2023-03-01
279,1066,27,43,2023-01-22
280,1939,29,38,2023-05-06
281,481,15,6,2023-04-13
282,930,14,15,2023-08-09
283,1872,21,29,2023-04-20
284,1772,29,47,2023-02-27
285,872,1,45,2023-03-06
286,1463,28,5,2023-02-27
287,1426,11,14,2023-06-07
288,1570,28,2,2023-03-17
289,345,25,23,2023-01-19
290,1917,3,44,2023-07-09
291,45,19,46,2023-09-07
292,1670,18,19,2023-12-26
293,21,20,24,2023-12-29
294,1658,28,20,2023-03-20
295,1094,2,47,2023-03-25
296,1888,29,27,2023-06-21
297,873,25,24,2023-07-31
298,48,28,17,2023-05-29
299,1515,26,25,2023-01-10
300,551,7,46,2023-01-30
301,287,8,31,2023-10-07
302,1002,19,28,2023-02-24
303,1034,22,50,2023-12-26
304,542,15,28,2023-05-07
305,756,10,22,2023-06-29
306,274,22,5,2023-08-20
307,956,29,44,2023-04-03
308,600,1,42,2023-01-08
309,1780,6,8,2023-09-04
310,381,13,38,2023-11-27
311,1353,14,28,2023-07-15
312,479,3,47,2023-06-12
313,15,11,12,2023-02-09
314,516,3,25,2023-09-11
315,191,19,38,2023-03-26
316,1192,10,44,2023-09-29
317,1545,27,15,2023-03-19
318,621,15,44,2023-08-01
319,1161,11,41,2023-10-31
320,154,15,34,2023-09-12
321,1412,26,45,2023-04-01
322,1233,27,13,2023-07-12
323,272,24,8,2023-09-10
324,143,13,13,2023-10-05
325,1635,5,36,2023-05-23
326,1913,4,6,2023-09-01
327,1844,13,38,2023-07-31
328,1093,9,32,2023-07-14
329,247,25,21,2023-09-27
330,1285,17,44,2023-11-25
331,788,2,44,2023-01-19
332,79,24,49,2023-02-09
333,1682,5,7,2023-04-08
334,623,16,26,2023-01-04
335,1794,7,15,2023-02-02
336,1629,1,49,2023-10-26
337,525,28,42,2023-06-14
338,772,26,23,2023-01-27
339,938,12,38,2023-06-22
340,1645,21,41,2023-12-03
341,1354,11,15,2023-04-23
342,1213,12,48,2023-04-05
343,1119,19,40,2023-11-15
344,617,26,16,2023-08-21
345,1032,12,32,2023-05-14
346,67,12,37,2023-05-04
347,1520,14,18,2023-12-17
348,191,2,20,2023-11-19
349,1390,2,46,2023-12-19
350,768,25,2,2023-04-26
351,521,29,23,2023-01-13
352,990,4,30,2023-11-16
353,1141,20,3,2023-06-14
354,267,23,46,2023-07-27
355,1635,26,39,2023-03-26
356,485,16,47,2023-09-05
357,1533,10,49,2023-02-25
358,1322,13,1,2023-06-21
359,1933,2,41,2023-05-21
360,1188,3,22,2023-05-12
361,376,19,29,2023-07-20
362,653,6,14,2023-10-16
363,1292,19,48,2023-11-05
364,549,27,28,2023-12-23
365,1098,21,21,2023-12-11
366,1532,20,45,2023-06-28
367,73,19,32,2023-01-29
368,308,8,6,2023-11-03
369,199,14,1,2023-11-02
370,1154,10,21,2023-02-05
371,1782,3,4,2023-04-19
372,1848,6,3,2023-11-12
373,572,29,49,2023-05-26
374,791,15,30,2023-10-03
375,1639,23,31,2023-05-26
376,1832,23,34,2023-06-17
377,1856,18,19,2023-09-14
378,1511,14,20,2023-10-02
379,1877,19,23,2023-03-28
380,1175,28,40,2023-06-03
381,1693,26,25,2023-10-12
382,1230,10,15,2023-11-11
383,179,15,38,2023-11-15
384,197,4,23,2023-04-08
385,735,23,2,2023-07-30
386,89,2,15,2023-02-17
387,799,3,44,2023-11-14
388,1458,7,35,2023-10-01
389,788,23,10,2023-07-13
390,748,16,14,2023-09-09
391,1207,10,27,2023-10-10
392,209,19,14,2023-09-19
393,493,28,35,2023-09-19
394,1154,17,33,2023-01-31
395,665,28,1,2023-04-15
396,1037,19,34,2023-12-16
397,1658,5,19,2023-11-08
398,871,23,24,2023-06-18
399,732,20,42,2023-08-24
400,1130,13,4,2023-10-01
401,1399,13,36,2023-12-09
402,1606,11,13,2023-08-18
403,1731,11,32,2023-01-23
404,698,16,9,2023-06-13
405,1123,15,39,2023-10-08
406,594,17,16,2023-01-07
407,1611,22,50,2023-07-29
408,886,18,3,2023-09-10
409,852,28,20,2023-05-13
410,1216,19,10,2023-10-01
411,325,4,22,2023-04-16
412,979,22,48,2023-08-20
413,1750,22,3,2023-02-02
414,1851,23,11,2023-03-20
415,956,5,25,2023-02-04
416,1491,7,42,2023-04-20
417,894,2,48,2023-11-17
418,1391,1,8,2023-03-04
419,1342,12,9,2023-11-24
420,144,10,15,2023-10-24
421,384,8,32,2023-06-27
422,216,1,3,2023-12-30
423,1385,12,4,2023-08-20
424,324,2,30,2023-04-14
425,1039,27,13,2023-10-21
426,217,28,44,2023-02-04
427,1516,10,21,2023-07-13
428,951,22,41,2023-06-23
429,1571,17,46,2023-04-12
430,183,26,19,2023-11-20
431,270,3,39,2023-10-20
432,945,7,48,2023-03-26
433,1491,12,22,2023-07-20
434,870,8,20,2023-06-22
435,1636,20,37,2023-01-29
436,1543,12,31,2023-10-24
437,1566,3,10,2023-02-25
438,467,17,18,2023-01-16
439,305,28,43,2023-05-20
440,1168,9,39,2023-03-07
441,111,10,46,2023-05-27
442,1014,22,20,2023-06-07
443,232,6,18,2023-03-10
444,1715,25,11,2023-01-23
445,1608,1,22,2023-07-09
446,1746,22,44,2023-09-05
447,1756,12,18,2023-11-05
448,1616,5,34,2023-05-25
449,1524,13,23,2023-11-01
450,595,27,1,2023-06-26
451,1578,15,10,2023-07-14
452,1297,22,1,2023-01-13
453,1727,30,38,2023-12-30
454,173,11,39,2023-06-15
455,973,8,49,2023-05-30
456,1031,5,9,2023-12-07
457,1179,2,31,2023-02-14
458,1546,12,7,2023-06-23
459,546,28,17,2023-06-16
460,548,2,35,2023-07-16
461,1945,26,48,2023-07-25
462,518,16,37,2023-03-23
463,1944,21,18,2023-03-09
464,914,3,33,2023-04-07
465,215,10,4,2023-06-16
466,134,19,23,2023-03-18
467,285,8,11,2023-08-25
468,1150,7,9,2023-07-15
469,1945,1,30,2023-10-18
470,1463,12,8,2023-05-16
471,1873,29,40,2023-11-04
472,686,28,5,2023-10-23
473,1176,5,12,2023-02-05
474,331,16,1,2023-09-05
475,1562,25,15,2023-09-11
476,1407,4,25,2023-08-02
477,1139,17,18,2023-09-09
478,894,24,38,2023-03-11
479,1506,21,42,2023-08-22
480,1308,2,46,2023-11-25
481,899,12,26,2023-01-16
482,1099,1,40,2023-06-23
483,1190,30,3,2023-07-06
484,1213,12,22,2023-10-21
485,78,12,26,2023-08-13
486,947,12,19,2023-10-01
487,1626,19,44,2023-01-12
488,688,25,44,2023-11-06
489,21,17,47,2023-08-07
490,566,20,39,2023-01-01
491,1208,24,36,2023-04-21
492,1895,24,21,2023-10-04
493,1246,26,41,2023-05-09
494,827,28,48,2023-04-03
495,1352,11,26,2023-02-08
496,179,13,13,2023-11-12
497,1812,27,36,2023-06-08
498,1136,8,24,2023-07-05
499,1760,10,41,2023-12-19
500,1750,8,26,2023-09-13
501,1083,20,21,2023-08-27
502,1351,8,18,2023-04-14
503,905,9,15,2023-01-29
504,1645,7,15,2023-03-30
505,1921,14,6,2023-02-20
506,669,28,43,2023-12-30
507,191,2,31,2023-05-27
508,1224,25,28,2023-11-10
509,1336,11,8,2023-02-05
510,708,8,29,2023-10-11
511,1059,13,21,2023-04-11
512,379,21,17,2023-04-17
513,387,15,49,2023-12-11
514,1782,28,24,2023-10-18
515,237,3,50,2023-12-15
516,616,23,36,2023-04-15
517,1543,14,31,2023-08-09
518,283,30,47,2023-03-17
519,1,15,34,2023-08-15
520,1755,2,2,2023-03-25
521,464,29,42,2023-03-17
522,1254,19,3,2023-09-06
523,967,12,30,2023-09-12
524,172,25,8,2023-02-19
525,1111,20,7,2023-12-22
526,1577,4,12,2023-07-29
527,1147,3,19,2023-06-07
528,843,5,26,2023-11-24
529,1322,3,28,2023-08-21
530,1909,25,15,2023-03-18
531,1953,15,14,2023-08-11
532,690,19,48,2023-05-01
533,575,2,14,2023-11-06
534,1508,12,3,2023-11-23
535,165,5,50,2023-12-07
536,1723,22,29,2023-12-24
537,383,17,6,2023-04-17
538,209,14,49,2023-08-29
539,1763,28,23,2023-01-28
540,1456,27,28,2023-07-11
541,1413,22,14,2023-09-06
542,1584,10,14,2023-12-30
543,224,3,20,2023-08-01
544,3,4,13,2023-01-21
545,372,6,27,2023-06-04
546,1711,24,35,2023-01-27
547,1470,25,45,2023-03-18
548,611,22,2,2023-11-02
549,116,16,41,2023-02-26
550,1294,7,45,2023-04-29
551,447,15,40,2023-06-14
552,1392,30,48,2023-03-05
553,1277,21,24,2023-02-17
554,1341,30,29,2023-05-30
555,415,28,3,2023-06-07
556,1119,25,45,2023-06-05
557,1809,20,4,2023-05-31
558,892,26,50,2023-08-13
559,1048,11,2,2023-09-17
560,1652,22,20,2023-09-13
561,663,21,15,2023-03-02
562,1874,1,49,2023-12-18
563,1074,5,32,2023-09-17
564,1526,13,42,2023-11-17
565,718,21,1,2023-06-11
566,1522,14,38,2023-12-15
567,1359,9,35,2023-01-31
568,1103,17,7,2023-03-12
569,1606,15,45,2023-01-02
570,1051,21,13,2023-02-19
571,271,7,49,2023-05-15
572,562,27,1,2023-05-26
573,804,22,14,2023-06-28
574,247,22,29,2023-09-21
575,1800,12,3,2023-11-07
576,1615,23,46,2023-07-23
577,387,6,24,2023-10-26
578,702,21,1,2023-07-06
579,559,16,48,2023-01-30
580,973,26,10,2023-02-28
581,1385,5,13,2023-01-09
582,1890,9,36,2023-11-20
583,984,14,9,2023-06-16
584,1512,8,14,2023-12-03
585,352,14,36,2023-10-06
586,1725,12,10,2023-07-10
587,1952,10,40,2023-08-30
588,1280,30,23,2023-10-05
589,1246,20,35,2023-06-03
590,1908,20,7,2023-06-09
591,753,26,42,2023-09-22
592,781,21,35,2023-08-23
593,1025,13,2,2023-12-12
594,546,29,15,2023-07-18
595,1470,19,9,2023-02-02
596,79,15,47,2023-03-30
597,1260,8,17,2023-04-05
598,334,23,39,2023-08-09
599,889,21,18,2023-03-10
600,1373,10,15,2023-10-21
601,1122,3,18,2023-08-25
602,1106,21,24,2023-06-09
603,502,3,23,2023-11-16
604,1991,26,12,2023-11-24
605,1501,5,23,2023-10-03
606,1951,16,21,2023-10-17
607,1728,17,26,2023-02-11
608,765,6,8,2023-03-07
609,921,26,30,2023-01-21
610,550,20,34,2023-12-01
611,14,20,2,2023-03-11
612,392,16,5,2023-09-18
613,1371,24,31,2023-09-03
614,310,2,33,2023-11-19
615,386,20,4,2023-08-23
616,1233,15,6,2023-09-29
617,1381,18,23,2023-04-09
618,974,1,45,2023-11-25
619,1625,26,19,2023-02-04
620,1592,29,43,2023-12-05
621,1118,29,45,2023-06-20
622,1117,19,8,2023-04-20
623,340,12,39,2023-10-22
624,597,8,13,2023-01-10
625,1469,6,1,2023-07-21
626,757,12,6,2023-09-14
627,1046,7,7,2023-09-19
628,291,18,48,2023-06-30
629,1509,22,27,2023-03-07
630,1808,14,15,2023-10-21
631,306,8,34,2023-06-10
632,634,24,23,2023-03-08
633,1152,20,48,2023-04-10
634,625,22,49,2023-03-18
635,939,14,24,2023-02-04
636,1297,5,15,2023-02-14
637,848,9,35,2023-05-30
638,442,8,4,2023-03-09
639,503,2,44,2023-09-11
640,130,28,37,2023-01-17
641,1156,16,17,2023-09-18
642,597,13,31,2023-08-01
643,1959,7,38,2023-11-09
644,1506,16,10,2023-09-13
645,862,7,50,2023-08-04
646,1414,27,27,2023-12-17
647,593,14,42,2023-10-13
648,999,14,6,2023-01-07
649,325,12,6,2023-07-18
650,1093,1,15,2023-04-01
651,1684,1,4,2023-05-27
652,448,12,48,2023-05-30
653,1552,20,40,2023-02-21
654,819,21,7,2023-08-31
655,1641,15,49,2023-08-07
656,1189,4,45,2023-01-06
657,1512,7,47,2023-04-19
658,1737,16,26,2023-12-17
659,709,3,31,2023-03-07
660,1450,7,2,2023-01-10
661,1721,29,28,2023-07-21
662,1858,24,42,2023-10-09
663,265,22,13,2023-08-02
664,1899,6,18,2023-03-09
665,612,16,30,2023-09-04
666,1366,24,11,2023-12-20
667,832,8,13,2023-11-23
668,1750,23,24,2023-02-19
669,1302,22,29,2023-01-17
670,674,6,5,2023-01-11
671,1463,10,35,2023-11-05
672,157,16,19,2023-11-02
673,1446,11,13,2023-05-04
674,251,13,5,2023-08-13
675,878,29,44,2023-09-01
676,1633,6,14,2023-11-14
677,530,24,38,2023-11-28
678,327,1,22,2023-12-12
679,961,21,9,2023-01-29
680,895,19,49,2023-12-24
681,97,12,40,2023-12-23
682,513,24,26,2023-12-31
683,216,27,45,2023-10-12
684,1156,6,5,2023-02-28
685,1284,30,29,2023-05-23
686,125,18,22,2023-11-22
687,1106,13,49,2023-12-18
688,1307,7,3,2023-10-27
689,1707,23,28,2023-08-14
690,59,13,38,2023-06-13
691,1568,21,14,2023-03-25
692,161,8,47,2023-11-09
693,284,30,14,2023-04-27
694,106,21,43,2023-11-16
695,1129,17,11,2023-07-23
696,1463,9,9,2023-12-21
697,228,20,38,2023-10-21
698,1724,13,47,2023-05-25
699,1606,2,44,2023-01-27
700,318,4,6,2023-01-17
701,1488,30,1,2023-03-04
702,802,29,25,2023-09-24
703,1623,25,16,2023-03-05
704,1906,2,15,2023-02-08
705,874,4,34,2023-05-10
706,472,18,17,2023-04-25
707,1080,5,3,2023-02-14
708,625,19,3,2023-08-04
709,13,10,37,2023-03-29
710,1464,18,17,2023-12-02
711,1042,30,49,2023-06-26
712,694,25,38,2023-09-22
713,973,21,1,2023-04-15
714,113,10,7,2023-11-30
715,229,5,26,2023-10-28
716,171,17,47,2023-06-20
717,295,22,39,2023-04-18
718,189,13,19,2023-12-21
719,426,23,30,2023-06-10
720,977,17,43,2023-10-10
721,1103,9,14,2023-02-09
722,658,24,13,2023-01-26
723,919,12,20,2023-03-24
724,1206,14,26,2023-06-22
725,499,14,27,2023-06-22
726,1822,8,25,2023-10-09
727,762,23,9,2023-03-11
728,866,5,41,2023-11-19
729,826,19,48,2023-01-06
730,1732,28,12,2023-10-11
731,1859,14,10,2023-07-14
732,71,9,6,2023-01-13
733,248,30,50,2023-03-04
734,146,7,34,2023-01-13
735,1642,27,41,2023-09-06
736,1799,26,19,2023-07-24
737,1320,26,6,2023-09-10
738,582,8,2,2023-02-09
739,470,14,15,2023-06-14
740,1530,22,17,2023-01-31
741,193,28,16,2023-01-17
742,1092,14,28,2023-05-17
743,494,11,21,2023-12-31
744,1841,14,8,2023-11-16
745,52,21,10,2023-11-09
746,882,8,10,2023-06-14
747,363,3,50,2023-10-08
748,1821,28,10,2023-08-11
749,917,29,9,2023-05-02
750,474,29,28,2023-03-19
751,1870,23,24,2023-11-09
752,521,18,19,2023-11-23
753,1787,3,33,2023-03-29
754,1455,13,4,2023-04-23
755,1868,12,3,2023-04-10
756,1322,15,42,2023-10-30
757,1459,18,12,2023-08-27
758,1720,5,18,2023-12-12
759,691,7,23,2023-04-21
760,1222,11,20,2023-03-31
761,1152,26,6,2023-05-19
762,532,27,34,2023-05-15
763,1435,11,42,2023-01-12
764,1958,27,2,2023-09-01
765,840,15,30,2023-07-01
766,1089,10,9,2023-07-14
767,1718,15,27,2023-12-28
768,241,13,42,2023-05-02
769,1393,14,34,2023-02-22
770,536,17,40,2023-12-22
771,1408,13,24,2023-06-22
772,1455,10,49,2023-06-28
773,1991,25,17,2023-10-20
774,83,1,29,2023-02-28
775,982,1,36,2023-02-23
776,1855,30,50,2023-09-14
777,1721,15,12,2023-09-02
778,951,16,31,2023-05-29
779,1852,12,49,2023-10-11
780,611,26,9,2023-01-16
781,574,24,19,2023-06-25
782,286,6,46,2023-01-28
783,989,6,46,2023-05-09
784,1558,12,17,2023-08-11
785,459,25,2,2023-09-01
786,1236,15,40,2023-12-20
787,126,4,5,2023-08-26
788,1437,24,39,2023-08-20
789,1523,4,48,2023-11-22
790,425,30,16,2023-04-02
791,554,2,17,2023-01-03
792,610,27,27,2023-03-22
793,1985,24,7,2023-02-13
794,1567,12,8,2023-06-04
795,1182,7,8,2023-01-24
796,112,20,23,2023-04-09
797,402,9,32,2023-06-20
798,1783,9,43,2023-05-28
799,122,8,47,2023-05-03
800,273,14,18,2023-04-22
801,1318,1,38,2023-05-10
802,398,23,12,2023-03-09
803,471,21,15,2023-12-13
804,985,23,28,2023-11-12
805,1231,12,38,2023-08-05
806,1134,25,50,2023-04-06
807,1464,2,31,2023-05-25
808,1302,13,9,2023-02-02
809,1987,30,8,2023-10-13
810,1592,27,46,2023-01-05
811,1911,4,19,2023-04-28
812,1939,20,8,2023-05-20
813,569,18,34,2023-08-18
814,1964,19,4,2023-06-09
815,1506,16,31,2023-10-21
816,1827,27,38,2023-09-06
817,1138,14,3,2023-09-30
818,1917,30,35,2023-07-05
819,897,29,19,2023-12-31
820,820,8,43,2023-02-09
821,853,12,29,2023-08-12
822,1501,9,10,2023-06-01
823,710,6,12,2023-05-20
824,1957,26,46,2023-05-08
825,321,18,30,2023-12-17
826,179,2,30,2023-05-27
827,897,23,18,2023-10-12
828,219,8,24,2023-08-06
829,789,24,32,2023-08-08
830,1973,14,9,2023-05-25
831,1552,6,47,2023-11-25
832,492,10,24,2023-10-04
833,1915,8,26,2023-08-30
834,61,30,3,2023-03-01
835,1078,17,23,2023-04-08
836,1704,25,11,2023-11-27
837,538,29,10,2023-06-30
838,848,12,50,2023-04-24
839,988,17,36,2023-04-13
840,65,13,13,2023-12-02
841,1636,19,29,2023-11-15
842,586,12,38,2023-02-26
843,1728,16,13,2023-10-12
844,171,25,26,2023-05-09
845,1297,27,20,2023-11-11
846,1913,5,5,2023-03-27
847,1723,25,20,2023-07-19
848,535,16,14,2023-03-12
849,1415,25,45,2023-12-11
850,1964,6,14,2023-04-08
851,693,11,8,2023-10-27
852,1351,17,48,2023-06-25
853,108,26,13,2023-08-21
854,1871,23,24,2023-03-16
855,1186,14,15,2023-05-23
856,814,6,1,2023-01-23
857,1005,25,22,2023-06-30
858,452,23,34,2023-02-14
859,1230,30,50,2023-04-02
860,590,28,40,2023-09-26
861,1040,11,3,2023-02-03
862,327,12,26,2023-06-15
863,608,13,14,2023-03-11
864,659,4,41,2023-12-30
865,2,7,8,2023-07-15
866,1034,2,49,2023-05-13
867,434,6,16,2023-09-04
868,125,6,42,2023-06-17
869,1105,18,21,2023-10-04
870,485,30,10,2023-06-05
871,652,20,25,2023-01-23
872,1862,8,38,2023-07-19
873,1174,8,22,2023-10-02
874,800,29,49,2023-02-19
875,873,8,48,2023-07-05
876,1364,8,47,2023-01-20
877,129,1,46,2023-04-26
878,438,2,4,2023-04-02
879,751,12,4,2023-12-15
880,501,15,30,2023-12-05
881,1082,4,2,2023-02-22
882,1222,28,29,2023-05-03
883,211,25,43,2023-12-07
884,1938,3,36,2023-12-04
885,902,14,21,2023-09-22
886,45,22,21,2023-01-04
887,1121,23,48,2023-06-18
888,1303,8,21,2023-10-08
889,535,13,4,2023-10-17
890,1434,23,1,2023-03-14
891,461,19,26,2023-05-17
892,391,22,2,2023-12-04
893,1871,5,9,2023-09-13
894,1068,13,45,2023-05-21
895,27,28,18,2023-07-27
896,794,26,48,2023-09-17
897,1121,20,48,2023-09-20
898,975,1,42,2023-09-28
