delivery_id,order_id,ship_date,delivery_date,delivery_status
99,99,2023-07-09,2023-09-17,Delivered
100,100,2023-11-04,2023-05-10,Delivered
101,101,2023-08-05,2023-12-16,Lost
102,102,2023-10-11,2023-08-14,Delivered
103,103,2023-11-16,2023-07-05,Delayed
104,104,2023-03-03,2023-10-09,Lost
105,105,2023-03-03,2023-10-22,Delivered
106,106,2023-08-04,2023-01-31,Delivered
107,107,2023-02-15,2023-10-27,Delivered
108,108,2023-06-22,2023-01-20,Delivered
109,109,2023-08-10,2023-05-13,Delivered
110,110,2023-04-06,2023-09-28,Delivered
111,111,2023-12-14,2023-04-18,Delivered
112,112,2023-02-14,2023-06-08,Delivered
113,113,2023-08-17,2023-03-02,Delivered
114,114,2023-03-04,2023-04-04,Delivered
115,115,2023-11-14,2023-09-19,Delivered
116,116,2023-08-08,2023-02-22,Delivered
117,117,2023-12-02,2023-05-15,Delivered
118,118,2023-03-31,2023-06-18,Delivered
119,119,2023-04-23,2023-10-26,Delivered
120,120,2023-07-27,2023-01-07,Delivered
121,121,2023-11-03,2023-05-18,Delivered
122,122,2023-07-23,2023-08-16,Delivered
123,123,2023-10-25,2023-07-05,Delayed
124,124,2023-02-03,2023-04-03,Delayed
125,125,2023-08-04,2023-11-06,Delivered
126,126,2023-01-13,2023-07-10,Delivered
127,127,2023-01-03,2023-11-01,Delivered
128,128,2023-12-30,2023-12-06,Delivered
129,129,2023-05-30,2023-11-20,Delivered
130,130,2023-05-23,2023-05-15,Delivered
131,131,2023-10-18,2023-06-23,Delivered
132,132,2023-07-27,2023-09-09,Delayed
133,133,2023-12-08,2023-03-04,Delivered
134,134,2023-07-12,2023-02-21,Delivered
135,135,2023-12-08,2023-08-13,Delivered
136,136,2023-11-03,2023-06-23,Delivered
137,137,2023-09-10,2023-11-17,Delayed
138,138,2023-07-24,2023-08-15,Delivered
139,139,2023-12-29,2023-07-12,Delivered
140,140,2023-02-16,2023-12-27,Delivered
141,141,2023-09-19,2023-09-24,Delivered
142,142,2023-03-08,2023-09-03,Delivered
143,143,2023-05-31,2023-03-22,Delayed
144,144,2023-03-12,2023-12-11,Delivered
145,145,2023-12-31,2024-01-02,Delivered
146,146,2023-01-03,2023-01-24,Delivered
147,147,2023-01-30,2023-02-07,Delivered
148,148,2023-09-14,2023-11-28,Delivered
149,149,2023-03-03,2023-06-07,Delivered
150,150,2023-04-11,2023-02-27,Delivered
151,151,2023-05-25,2023-12-23,Delivered
152,152,2023-07-12,2023-09-07,Delivered
153,153,2023-12-20,2023-09-20,Delivered
154,154,2023-12-20,2023-09-19,Delivered
155,155,2023-09-28,2023-01-17,Delivered
156,156,2023-10-27,2023-07-09,Delivered
157,157,2023-11-23,2023-01-28,Delayed
158,158,2023-11-08,2023-01-25,Delivered
159,159,2023-07-24,2023-04-15,Delivered
160,160,2023-09-03,2023-01-31,Delivered
161,161,2023-02-01,2023-12-10,Delivered
162,162,2023-11-29,2023-02-28,Delivered
163,163,2023-02-22,2023-03-05,Delivered
164,164,2023-09-01,2023-02-19,Delayed
165,165,2023-09-21,2024-01-04,Delivered
166,166,2023-06-24,2023-02-06,Delivered
167,167,2023-04-11,2023-02-17,Delivered
168,168,2023-03-03,2023-02-04,Delivered
169,169,2023-12-27,2023-11-25,Delivered
170,170,2023-07-08,2023-08-16,Delivered
171,171,2023-01-08,2023-09-25,Delivered
172,172,2023-07-09,2023-08-06,Delayed
173,173,2023-03-25,2023-08-07,Delivered
174,174,2023-12-18,2023-06-27,Delivered
175,175,2023-10-11,2023-02-15,Delivered
176,176,2023-05-05,2023-08-09,Delivered
177,177,2023-06-07,2023-05-08,Delivered
178,178,2023-03-29,2023-11-17,Delivered
179,179,2023-05-29,2023-11-03,Delayed
180,180,2023-03-12,2023-07-21,Delivered
181,181,2023-03-18,2023-03-28,Delivered
182,182,2023-04-25,2023-02-12,Delivered
183,183,2023-01-04,2023-08-01,Delivered
184,184,2023-08-23,2023-12-22,Delivered
185,185,2023-06-17,2023-02-10,Delivered
186,186,2023-04-10,2023-12-31,Delivered
187,187,2023-05-05,2023-09-28,Delayed
188,188,2023-02-15,2023-12-30,Delivered
189,189,2023-11-21,2024-01-04,Delivered
190,190,2023-10-15,2023-07-02,Delivered
191,191,2023-04-17,2023-08-21,Delivered
192,192,2023-10-22,2023-03-13,Delivered
193,193,2023-05-15,2023-11-11,Delivered
194,194,2023-01-09,2023-03-19,Delayed
195,195,2023-01-29,2023-10-05,Delivered
196,196,2023-09-29,2023-08-24,Delivered
197,197,2023-08-12,2023-11-16,Delivered
198,198,2023-01-09,2023-11-17,Delivered
199,199,2023-11-07,2023-05-18,Delivered
200,200,2023-05-15,2023-06-05,Delivered
201,201,2023-01-30,2023-10-23,Delivered
202,202,2023-04-26,2023-12-16,Delivered
203,203,2023-02-04,2023-04-11,Delivered
204,204,2023-01-08,2024-01-01,Delayed
205,205,2023-02-10,2023-12-29,Delivered
206,206,2023-11-27,2023-12-31,Delivered
207,207,2023-03-04,2023-12-26,Delivered
208,208,2023-03-28,2023-05-12,Delivered
209,209,2023-08-02,2023-01-09,Delivered
210,210,2023-04-27,2023-04-17,Delivered
211,211,2023-03-07,2023-11-05,Delivered
212,212,2023-10-25,2023-02-21,Delivered
213,213,2023-06-20,2023-08-14,Delivered
214,214,2023-04-27,2023-03-07,Delivered
215,215,2023-11-19,2023-07-02,Delivered
216,216,2023-04-27,2023-03-18,Delivered
217,217,2023-08-10,2023-09-25,Delivered
218,218,2023-12-24,2023-07-10,Delivered
219,219,2023-02-20,2023-07-04,Delivered
220,220,2023-11-24,2023-12-23,Delivered
221,221,2023-12-03,2023-03-11,Delivered
222,222,2023-03-21,2023-06-21,Delivered
223,223,2023-01-21,2023-11-20,Delivered
224,224,2023-02-07,2023-06-23,Delivered
225,225,2023-09-17,2023-10-13,Delivered
226,226,2023-04-04,2023-04-19,Delivered
227,227,2023-07-07,2024-01-03,Lost
228,228,2023-12-24,2023-04-23,Lost
229,229,2023-07-21,2023-03-21,Delivered
230,230,2023-10-16,2023-07-07,Delivered
231,231,2023-02-18,2023-09-12,Delivered
232,232,2023-09-11,2023-08-26,Delayed
233,233,2023-02-16,2023-04-05,Delivered
234,234,2023-08-20,2023-05-12,Lost
235,235,2023-04-06,2023-07-04,Delivered
236,236,2023-10-31,2023-02-05,Delivered
237,237,2023-08-07,2023-11-01,Delivered
238,238,2023-02-10,2023-08-12,Delivered
239,239,2023-07-23,2023-10-11,Delayed
240,240,2023-04-27,2023-12-08,Delivered
241,241,2023-04-02,2023-01-03,Delivered
242,242,2023-02-28,2023-04-09,Delivered
243,243,2023-01-11,2023-03-30,Delivered
244,244,2023-09-14,2023-11-29,Delivered
245,245,2023-11-14,2023-09-11,Delivered
246,246,2023-09-07,2024-01-01,Delivered
247,247,2023-11-14,2023-01-17,Delivered
248,248,2023-01-07,2023-05-24,Delivered
249,249,2023-11-28,2023-11-09,Delivered
250,250,2023-07-08,2023-10-18,Delivered
251,251,2023-08-24,2023-03-13,Lost
252,252,2023-07-03,2023-11-10,Delivered
253,253,2023-10-15,2023-10-08,Delivered
254,254,2023-05-04,2023-02-25,Delivered
255,255,2023-06-08,2023-12-14,Delivered
256,256,2023-11-20,2023-10-31,Delivered
257,257,2023-01-14,2023-09-11,Delivered
258,258,2023-11-12,2023-09-06,Delivered
259,259,2023-02-24,2023-05-16,Delivered
260,260,2023-12-27,2023-09-03,Delivered
261,261,2023-10-05,2023-08-29,Delivered
262,262,2023-02-13,2023-01-19,Delivered
263,263,2023-09-25,2023-12-17,Delivered
264,264,2023-04-20,2023-10-08,Delivered
265,265,2023-11-20,2023-08-23,Delivered
266,266,2023-06-16,2023-12-20,Delivered
267,267,2023-12-18,2023-06-05,Delivered
268,268,2023-04-17,2023-07-07,Delivered
269,269,2023-02-21,2023-03-26,Delivered
270,270,2023-07-24,2023-02-26,Delivered
271,271,2023-10-30,2023-03-05,Delivered
272,272,2023-02-13,2023-12-26,Delivered
273,273,2023-10-11,2023-03-02,Delivered
274,274,2023-03-27,2023-05-24,Delivered
275,275,2023-08-06,2023-05-31,Delivered
276,276,2023-06-08,2023-06-25,Delivered
277,277,2023-12-17,2023-11-09,Delivered
278,278,2023-05-08,2023-03-05,Delivered
279,279,2023-07-11,2023-06-18,Delivered
280,280,2023-09-24,2023-06-21,Delivered
281,281,2023-03-02,2023-11-02,Lost
282,282,2023-10-11,2023-04-15,Delivered
283,283,2023-03-04,2023-01-30,Delivered
284,284,2023-10-30,2023-03-27,Delivered
285,285,2023-05-07,2023-05-16,Delivered
286,286,2023-06-22,2023-03-02,Delivered
287,287,2023-03-05,2023-04-02,Delivered
288,288,2023-09-18,2023-03-13,Delivered
289,289,2023-01-17,2023-07-06,Delivered
290,290,2023-06-29,2023-03-03,Delivered
291,291,2023-11-27,2023-05-27,Delivered
292,292,2023-04-12,2023-06-19,Delayed
293,293,2023-06-26,2023-03-09,Delivered
294,294,2023-07-13,2023-05-06,Delayed
295,295,2023-10-29,2023-08-03,Delivered
296,296,2023-10-01,2023-07-03,Delivered
297,297,2023-09-19,2023-03-14,Delivered
298,298,2023-06-25,2023-02-15,Delivered
299,299,2023-08-23,2023-12-08,Delivered
300,300,2023-10-28,2023-07-16,Delivered
301,301,2023-08-05,2023-02-28,Delivered
302,302,2023-09-05,2023-10-21,Delivered
303,303,2023-01-22,2023-02-28,Delivered
304,304,2023-11-21,2023-06-22,Delivered
305,305,2023-09-01,2023-10-29,Delayed
306,306,2023-10-16,2023-11-16,Delivered
307,307,2023-10-08,2023-03-26,Delivered
308,308,2023-09-02,2023-11-15,Delivered
309,309,2023-06-13,2023-04-06,Delivered
310,310,2023-05-27,2023-09-26,Delivered
311,311,2023-03-09,2023-12-01,Lost
312,312,2023-04-14,2023-06-12,Delivered
313,313,2023-11-07,2023-04-14,Delivered
314,314,2023-05-06,2023-04-24,Delivered
315,315,2023-04-28,2023-03-09,Delivered
316,316,2023-09-09,2023-04-22,Delivered
317,317,2023-11-18,2023-05-02,Delivered
318,318,2023-08-15,2023-10-08,Delivered
319,319,2023-07-08,2023-09-01,Delivered
320,320,2023-07-07,2023-05-30,Delivered
321,321,2023-03-18,2023-09-01,Delivered
322,322,2023-10-01,2023-08-12,Delivered
323,323,2023-05-30,2023-09-30,Delivered
324,324,2023-07-15,2023-10-15,Delivered
325,325,2023-12-31,2023-01-06,Delivered
326,326,2023-10-12,2023-11-18,Delivered
327,327,2023-02-14,2023-11-19,Delivered
328,328,2023-06-20,2023-01-10,Delivered
329,329,2023-04-05,2023-02-23,Delivered
330,330,2023-08-13,2023-05-24,Delivered
331,331,2023-10-06,2023-11-12,Delivered
332,332,2023-02-08,2023-09-26,Delivered
333,333,2023-09-28,2023-11-13,Delivered
334,334,2023-08-24,2023-10-09,Delivered
335,335,2023-04-22,2023-03-31,Delivered
336,336,2023-06-18,2023-06-11,Delivered
337,337,2023-02-24,2023-10-31,Delivered
338,338,2023-05-08,2023-01-30,Delivered
339,339,2023-10-03,2023-01-18,Delivered
340,340,2023-02-12,2023-10-27,Delivered
341,341,2023-02-11,2023-12-27,Delivered
342,342,2023-02-20,2023-10-01,Delivered
343,343,2023-06-09,2023-04-12,Delivered
344,344,2023-11-29,2023-07-25,Delivered
345,345,2023-07-02,2023-07-11,Delivered
346,346,2023-07-01,2023-02-05,Delivered
347,347,2023-06-16,2023-10-23,Delivered
348,348,2023-08-21,2023-10-07,Delivered
349,349,2023-07-26,2023-12-04,Delivered
350,350,2023-12-22,2023-12-12,Delivered
351,351,2023-02-20,2023-09-18,Delivered
352,352,2023-05-27,2023-09-16,Delayed
353,353,2023-10-26,2023-02-24,Delivered
354,354,2023-05-26,2023-07-13,Delivered
355,355,2023-01-17,2023-06-23,Delivered
356,356,2023-03-27,2023-02-18,Delayed
357,357,2023-08-05,2023-07-12,Delivered
358,358,2023-02-22,2023-02-12,Delivered
359,359,2023-02-06,2023-07-15,Delivered
360,360,2023-04-18,2023-03-09,Delivered
361,361,2023-08-08,2023-02-14,Delayed
362,362,2023-12-04,2023-07-11,Delivered
363,363,2023-10-26,2023-04-01,Delivered
364,364,2023-09-12,2023-06-27,Delivered
365,365,2023-03-10,2023-01-28,Delivered
366,366,2023-07-07,2023-04-11,Delayed
367,367,2023-05-05,2023-03-04,Delivered
368,368,2023-01-31,2023-09-09,Delivered
369,369,2023-07-05,2023-11-16,Delivered
370,370,2023-10-17,2023-08-15,Delivered
371,371,2023-12-26,2023-03-25,Delivered
372,372,2023-02-23,2023-07-03,Delivered
373,373,2023-06-27,2023-07-09,Delivered
374,374,2023-05-14,2023-02-15,Delivered
375,375,2023-12-29,2023-11-10,Delivered
376,376,2023-03-19,2023-09-18,Delivered
377,377,2023-12-17,2023-04-10,Delivered
378,378,2023-03-02,2023-12-21,Delivered
379,379,2023-11-08,2023-04-03,Delivered
380,380,2023-04-02,2023-11-13,Delivered
381,381,2023-10-26,2023-11-27,Delayed
382,382,2023-11-22,2023-05-23,Delayed
383,383,2023-10-08,2023-11-07,Delivered
384,384,2023-07-19,2023-09-11,Delivered
385,385,2023-04-29,2023-07-29,Delivered
386,386,2023-07-03,2023-06-30,Delivered
387,387,2023-02-25,2023-10-27,Delivered
388,388,2023-09-29,2023-07-08,Delivered
389,389,2023-01-06,2023-11-23,Delivered
390,390,2023-04-12,2023-04-22,Delivered
391,391,2023-10-14,2023-08-09,Delivered
392,392,2023-02-23,2023-12-16,Delivered
393,393,2023-08-07,2023-01-05,Delivered
394,394,2023-11-26,2023-02-12,Delivered
395,395,2023-10-14,2023-05-07,Delivered
396,396,2023-08-29,2023-09-16,Delivered
397,397,2023-08-03,2023-07-14,Delivered
398,398,2023-04-15,2023-04-27,Delayed
399,399,2023-12-28,2023-03-13,Delivered
400,400,2023-12-31,2023-11-04,Delayed
401,401,2023-08-11,2023-12-04,Delivered
402,402,2023-12-07,2023-04-09,Delivered
403,403,2023-12-15,2023-08-06,Delivered
404,404,2023-07-09,2023-11-13,Delivered
405,405,2023-11-24,2023-08-14,Delivered
406,406,2023-11-21,2023-11-28,Delivered
407,407,2023-11-08,2023-11-17,Delivered
408,408,2023-04-10,2023-10-10,Delivered
409,409,2023-04-08,2023-12-01,Delivered
410,410,2023-11-24,2023-05-11,Delivered
411,411,2023-03-15,2023-04-11,Delivered
412,412,2023-09-14,2023-09-29,Delivered
413,413,2023-08-20,2023-09-06,Delivered
414,414,2023-06-20,2023-07-07,Delivered
415,415,2023-11-30,2023-09-03,Delivered
416,416,2023-06-07,2023-02-09,Delivered
417,417,2023-08-11,2023-09-16,Delivered
418,418,2023-12-31,2023-12-08,Delivered
419,419,2023-12-13,2023-09-07,Lost
420,420,2023-04-10,2023-05-15,Delivered
421,421,2023-08-09,2023-02-15,Delayed
422,422,2023-09-02,2023-07-14,Delivered
423,423,2023-09-17,2023-02-28,Delivered
424,424,2023-07-14,2023-09-07,Delivered
425,425,2023-05-31,2023-04-16,Delivered
426,426,2023-06-05,2023-02-16,Delivered
427,427,2023-01-23,2023-03-03,Delivered
428,428,2023-04-27,2023-03-09,Delivered
429,429,2023-04-24,2023-08-13,Delivered
430,430,2023-07-31,2023-02-18,Delivered
431,431,2023-01-25,2023-08-28,Delivered
432,432,2023-10-11,2023-01-28,Delivered
433,433,2023-10-20,2023-11-05,Delivered
434,434,2023-12-30,2023-04-06,Delivered
435,435,2023-02-26,2023-04-22,Delayed
436,436,2023-09-24,2023-09-20,Delivered
437,437,2023-02-24,2023-09-13,Delivered
438,438,2023-12-04,2023-10-24,Delivered
439,439,2023-04-19,2023-11-22,Delivered
440,440,2023-07-22,2023-02-11,Delivered
441,441,2023-07-22,2023-10-21,Delivered
442,442,2023-12-04,2023-09-13,Delivered
443,443,2023-08-07,2023-04-09,Delivered
444,444,2023-09-01,2023-01-28,Delivered
445,445,2023-12-21,2023-04-16,Delivered
446,446,2023-06-28,2023-04-15,Delivered
447,447,2023-03-03,2023-03-18,Delivered
448,448,2023-02-06,2023-03-28,Delivered
449,449,2023-12-25,2023-08-04,Delivered
450,450,2023-02-16,2023-04-25,Delivered
451,451,2023-04-06,2023-11-10,Delivered
452,452,2023-11-24,2023-02-28,Delivered
453,453,2023-02-14,2023-04-13,Delivered
454,454,2023-11-17,2023-09-09,Delivered
455,455,2023-08-15,2023-05-17,Delivered
456,456,2023-05-27,2023-05-23,Delivered
457,457,2023-09-27,2023-03-27,Delivered
458,458,2023-01-14,2023-07-28,Delivered
459,459,2023-01-26,2023-08-20,Delivered
460,460,2023-09-19,2023-12-24,Delivered
461,461,2023-05-09,2023-10-31,Delivered
462,462,2023-02-09,2023-03-04,Delivered
463,463,2023-06-07,2023-08-07,Delayed
464,464,2023-12-31,2023-02-27,Delayed
465,465,2023-07-05,2023-01-31,Delivered
466,466,2023-06-24,2023-04-23,Delivered
467,467,2023-07-06,2023-04-04,Delivered
468,468,2023-10-09,2023-05-24,Delivered
469,469,2023-03-16,2023-04-14,Delivered
470,470,2023-10-23,2023-03-14,Delivered
471,471,2023-01-17,2023-01-15,Delivered
472,472,2023-07-08,2023-06-08,Delivered
473,473,2023-06-22,2023-03-24,Delivered
474,474,2023-07-06,2023-04-12,Delivered
475,475,2023-02-02,2023-03-26,Delivered
476,476,2023-03-05,2023-08-08,Delivered
477,477,2023-12-16,2023-08-27,Delivered
478,478,2023-10-29,2023-05-07,Delivered
479,479,2023-11-06,2023-07-22,Delivered
480,480,2023-07-09,2023-01-04,Delivered
481,481,2023-11-03,2023-03-05,Delivered
482,482,2023-01-27,2023-01-22,Delivered
483,483,2023-12-13,2023-07-31,Delivered
484,484,2023-02-09,2023-12-14,Delivered
485,485,2023-07-13,2023-07-01,Delivered
486,486,2023-06-13,2023-03-05,Delayed
487,487,2023-02-23,2023-10-02,Delivered
488,488,2023-06-24,2023-10-24,Delivered
489,489,2023-07-16,2023-08-31,Delivered
490,490,2023-07-31,2023-09-10,Delivered
491,491,2023-10-06,2023-01-12,Lost
492,492,2023-07-08,2023-07-08,Delivered
493,493,2023-11-05,2023-04-22,Delayed
494,494,2023-11-28,2023-01-30,Delivered
495,495,2023-08-03,2023-03-04,Delayed
496,496,2023-11-26,2023-03-01,Delivered
497,497,2023-01-30,2023-10-29,Delivered
498,498,2023-06-21,2023-12-07,Delivered
499,499,2023-05-03,2023-09-11,Delivered
500,500,2023-06-09,2023-09-15,Delivered
501,501,2023-03-28,2023-05-27,Delayed
502,502,2023-10-30,2023-03-22,Delivered
503,503,2023-01-05,2023-12-09,Delivered
504,504,2023-01-03,2023-10-23,Delayed
505,505,2023-05-14,2023-10-15,Delivered
506,506,2023-10-30,2023-10-17,Delivered
507,507,2023-03-21,2023-08-04,Delivered
508,508,2023-05-28,2023-01-22,Delayed
509,509,2023-06-16,2023-12-26,Delivered
510,510,2023-11-12,2023-08-20,Delivered
511,511,2023-08-27,2023-03-07,Delivered
512,512,2023-11-25,2023-02-07,Delivered
513,513,2023-10-04,2023-08-01,Delivered
514,514,2023-07-24,2023-06-22,Delivered
515,515,2023-02-23,2023-01-28,Delivered
516,516,2023-04-18,2023-09-22,Delivered
517,517,2023-02-25,2023-10-19,Delivered
518,518,2023-09-04,2023-06-15,Delivered
519,519,2023-06-14,2023-03-05,Delivered
520,520,2023-01-16,2023-03-29,Delivered
521,521,2023-01-02,2023-03-16,Delivered
522,522,2023-12-18,2023-03-03,Delivered
523,523,2023-05-18,2023-11-18,Delivered
524,524,2023-06-01,2023-06-29,Delivered
525,525,2023-06-30,2023-02-23,Delivered
526,526,2023-08-21,2023-05-27,Delivered
527,527,2023-07-08,2023-11-14,Delivered
528,528,2023-01-19,2023-03-20,Delivered
529,529,2023-08-14,2023-05-01,Delayed
530,530,2023-04-16,2023-07-30,Delivered
531,531,2023-07-26,2023-07-03,Delivered
532,532,2023-07-06,2023-05-20,Delivered
533,533,2023-03-07,2023-05-07,Delivered
534,534,2023-11-30,2023-06-04,Delayed
535,535,2023-07-27,2023-01-20,Delivered
536,536,2023-08-18,2023-03-07,Delivered
537,537,2023-03-11,2023-08-26,Delivered
538,538,2023-05-23,2023-03-22,Delayed
539,539,2023-07-26,2023-03-02,Delivered
540,540,2023-06-24,2023-09-10,Delivered
541,541,2023-07-17,2023-11-12,Delivered
542,542,2023-11-28,2023-03-04,Delivered
543,543,2023-11-04,2023-04-30,Delivered
544,544,2023-07-17,2023-03-22,Delivered
545,545,2023-08-17,2023-08-27,Delivered
546,546,2023-09-29,2023-11-25,Delivered
547,547,2023-07-19,2023-06-22,Delivered
548,548,2023-11-22,2023-09-03,Delivered
549,549,2023-01-16,2023-07-29,Delivered
550,550,2023-10-14,2023-12-12,Delivered
551,551,2023-12-01,2023-03-30,Delivered
552,552,2023-08-05,2023-05-21,Delivered
553,553,2023-02-05,2023-03-31,Delivered
554,554,2023-03-11,2023-05-15,Delivered
555,555,2023-08-01,2023-02-10,Delivered
556,556,2023-02-16,2023-06-27,Delivered
557,557,2023-09-06,2023-03-23,Delivered
558,558,2023-03-27,2023-01-22,Delivered
559,559,2023-02-18,2023-08-11,Delivered
560,560,2023-08-20,2023-12-05,Delivered
561,561,2023-03-09,2023-10-04,Delivered
562,562,2023-03-31,2023-07-09,Delivered
563,563,2023-08-08,2023-06-05,Delayed
564,564,2023-02-22,2023-05-25,Delivered
565,565,2023-01-23,2023-09-10,Delivered
566,566,2023-04-10,2023-08-02,Delivered
567,567,2023-05-12,2023-05-31,Delivered
568,568,2023-03-30,2023-06-26,Delivered
569,569,2023-05-17,2023-06-23,Delivered
570,570,2023-02-09,2023-05-16,Delivered
571,571,2023-01-19,2023-04-28,Delivered
572,572,2023-04-16,2023-12-25,Delivered
573,573,2023-05-27,2023-07-24,Delivered
574,574,2023-12-03,2023-10-24,Delivered
575,575,2023-08-13,2023-05-28,Delivered
576,576,2023-04-28,2023-08-28,Delivered
577,577,2023-01-02,2023-08-18,Delivered
578,578,2023-04-28,2023-09-14,Delivered
579,579,2023-01-27,2023-10-21,Delivered
580,580,2023-01-13,2023-06-07,Delivered
581,581,2023-10-22,2023-12-07,Delivered
582,582,2023-12-08,2023-12-18,Delivered
583,583,2023-06-19,2023-09-02,Delivered
584,584,2023-02-23,2023-07-28,Delivered
585,585,2023-09-27,2023-09-13,Delivered
586,586,2023-09-06,2023-09-17,Delivered
587,587,2023-05-09,2023-03-16,Delivered
588,588,2023-03-18,2023-02-06,Delivered
589,589,2023-09-27,2023-05-11,Delivered
590,590,2023-05-27,2023-07-09,Delivered
591,591,2023-02-18,2023-11-17,Delivered
592,592,2023-07-19,2023-04-07,Delivered
593,593,2023-03-13,2023-08-10,Delivered
594,594,2023-04-03,2023-10-30,Lost
595,595,2023-07-29,2023-05-07,Delivered
596,596,2023-12-09,2023-07-06,Delivered
597,597,2023-12-06,2023-02-08,Delayed
598,598,2023-02-18,2023-09-22,Delivered
599,599,2023-01-30,2023-04-22,Delivered
600,600,2023-06-26,2023-06-29,Delayed
601,601,2023-01-20,2023-05-24,Delivered
602,602,2023-12-22,2023-05-16,Delivered
603,603,2023-02-17,2023-05-31,Delivered
604,604,2023-12-12,2023-10-17,Delivered
605,605,2023-03-02,2023-09-17,Delivered
606,606,2023-06-26,2023-02-10,Delivered
